
FriendlyName                                                          Class               Status
------------                                                          -----               ------
Puerto raíz PCI Express                                               System              OK    
Microsoft Bluetooth Enumerator                                        Bluetooth           OK    
Proxy de servicio de streaming de Microsoft                           MEDIA               OK    
Controladora integrada compatible con Microsoft ACPI                  System              OK    
Dispositivo PCI                                                                           Error 
AIWA-90N                                                              Bluetooth           OK    
Controladora de High Definition Audio                                 System              OK    
Recursos de la placa base                                             System              OK    
Sistema CMOS/reloj en tiempo real                                     System              OK    
Cola de impresión raíz                                                PrintQueue          OK    
SDXC Card                                                             DiskDrive           OK    
Puente PCI de CPU host estándar                                       System              OK    
Administrador de volúmenes                                            System              OK    
Temporizador de eventos de alta precisión                             System              OK    
Bluetooth Device (RFCOMM Protocol TDI)                                Bluetooth           OK    
Bluetooth Device (Personal Area Network)                              Net                 OK    
AMD-Windows Support Components                                        SoftwareComponent   OK    
WAN Miniport (PPPOE)                                                  Net                 OK    
AMD IPU Device                                                        System              OK    
Controlador de pantalla básica de Microsoft                           System              OK    
Mouse compatible con HID                                              Mouse               OK    
Controlador de host eXtensible AMD USB 3.10 - 1.20 (Microsoft)        USB                 OK    
Zona térmica ACPI                                                     System              OK    
AMD GPIO Controller                                                   System              OK    
Puerto raíz PCI Express                                               System              OK    
Puerto raíz PCI Express                                               System              OK    
Puerto raíz PCI Express                                               System              OK    
Zona térmica ACPI                                                     System              OK    
AIWA-90N Hands-Free AG                                                System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Microsoft RRAS Root Enumerator                                        SoftwareDevice      OK    
Dispositivo contenedor de procesador ACPI                             System              OK    
Interfaz de administración para ACPI de Microsoft Windows             System              OK    
Concentrador raíz USB (USB 3.0)                                       USB                 OK    
Dispositivo ACPI UCM-UCSI                                             UCM                 OK    
MediaTek Wi-Fi 6E MT7922 (RZ616) 160MHz PCIe Adapter                  Net                 OK    
WAN Miniport (PPTP)                                                   Net                 OK    
Puente PCI de CPU host estándar                                       System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Controlador de infraestructura de virtualización de Microsoft Hyper-V System              OK    
Teclado PS/2 estándar                                                 Keyboard            OK    
Controladora de cifrado/descifrado PCI                                                    Error 
WAN Miniport (IKEv2)                                                  Net                 OK    
Enumerador de bus compuesto                                           System              OK    
Enumerador de unidades virtuales de Microsoft                         System              OK    
HP Device Health Service                                              SoftwareComponent   OK    
Controladora de bus SM                                                                    Error 
Volumen                                                               Volume              OK    
Adaptador de CA de Microsoft                                          Battery             OK    
Controladora de espacios de almacenamiento de Microsoft               SCSIAdapter         OK    
Dispositivo de High Definition Audio                                  MEDIA               OK    
KBG50ZNV1T02 KIOXIA                                                   DiskDrive           OK    
Volumen                                                               Volume              OK    
Microsoft Kernel Debug Network Adapter                                Net                 OK    
HP Wide Vision HD Camera                                              Camera              OK    
Componente de software genérico                                       SoftwareComponent   OK    
Instantánea de volumen genérico                                       VolumeSnapshot      OK    
Instantánea de volumen genérico                                       VolumeSnapshot      OK    
Instantánea de volumen genérico                                       VolumeSnapshot      OK    
Concentrador raíz USB (USB 3.0)                                       USB                 OK    
Puente PCI de CPU host estándar                                       System              OK    
Dispositivo definido por el proveedor compatible con HID              HIDClass            OK    
Tapa ACPI                                                             System              OK    
Dispositivo definido por el proveedor compatible con HID              HIDClass            OK    
Wireless Controller                                                   Bluetooth           OK    
Controladora programable de interrupciones                            System              OK    
Dispositivo compuesto USB                                             USB                 OK    
Controlador de host eXtensible AMD USB 3.10 - 1.20 (Microsoft)        USB                 OK    
Dispositivo definido por el proveedor compatible con HID              HIDClass            OK    
HP Omen Driver                                                        System              OK    
Mouse compatible con HID                                              Mouse               OK    
Tailscale Tunnel                                                      Net                 OK    
Mouse compatible con HID                                              Mouse               OK    
Dispositivo PCI                                                                           Error 
Concentrador raíz USB (USB 3.0)                                       USB                 OK    
Controlador de host eXtensible AMD USB 3.10 - 1.20 (Microsoft)        USB                 OK    
Dispositivo de control del consumidor compatible con HID              HIDClass            OK    
Monitor PnP genérico                                                  Monitor             OK    
Enumerador de bus raíz de UMBus                                       System              OK    
Controlador de arbitraje de carga                                     System              OK    
Microsoft Print to PDF                                                PrintQueue          OK    
Puente PCI de CPU host estándar                                       System              OK    
Puente PCI ISA estándar                                               System              OK    
Dispositivo de teclado HID                                            Keyboard            OK    
Microsoft Radio Device Enumeration Bus                                SoftwareDevice      OK    
Placa del sistema                                                     System              OK    
Microsoft Device Association Root Enumerator                          SoftwareDevice      OK    
Equipo basado en x64 ACPI                                             Computer            OK    
WAN Miniport (Network Monitor)                                        Net                 OK    
WAN Miniport (IP)                                                     Net                 OK    
Interfaz de administración para ACPI de Microsoft Windows             System              OK    
Complejo raíz PCI Express                                             System              OK    
Virtual Gamepad Emulation Bus                                         System              OK    
Controladora de High Definition Audio                                 System              OK    
                                                                                          Error 
Interfaz de administración para ACPI de Microsoft Windows             System              OK    
AIWA-90N Transporte AVRCP                                             Bluetooth           OK    
Altavoces (High Definition Audio Device)                              AudioEndpoint       OK    
JUEGOS 2                                                              WPD                 OK    
Panel táctil compatible con HID                                       HIDClass            OK    
Sistema Microsoft compatible con ACPI                                 System              OK    
                                                                                          OK    
Controlador de representación básica de Microsoft                     System              OK    
Firmware de sistema                                                   Firmware            OK    
Bluetooth                                                             SoftwareDevice      OK    
Puente PCI de CPU host estándar                                       System              OK    
Device Identification Service                                         Bluetooth           OK    
WAN Miniport (SSTP)                                                   Net                 OK    
AIWA-90N Hands-Free AG Audio                                          MEDIA               OK    
Sistema compatible con Microsoft UEFI                                 System              OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
AMD Ryzen 7 8845HS w/ Radeon 780M Graphics                            Processor           OK    
Realtek Gaming GbE Family Controller                                  Net                 OK    
Módulo de plataforma segura 2.0                                       SecurityDevices     OK    
MediaTek Bluetooth Adapter                                            Bluetooth           OK    
Puerto raíz PCI Express                                               System              OK    
Puerto raíz PCI Express                                               System              OK    
Puerto raíz PCI Express                                               System              OK    
Puerto raíz PCI Express                                               System              OK    
Controladora de administración de energía estándar                    System              OK    
Recursos de la placa base                                             System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Alarma de activación ACPI                                             System              OK    
Controlador de host eXtensible AMD USB 3.10 - 1.20 (Microsoft)        USB                 OK    
Microsoft Wi-Fi Direct Virtual Adapter                                Net                 OK    
Temporizador del sistema                                              System              OK    
Enumerador de Bluetooth LE de Microsoft                               Bluetooth           OK    
Microsoft XPS Document Writer                                         PrintQueue          OK    
NVIDIA High Definition Audio                                          MEDIA               OK    
[LG] webOS TV LQ630BPSA                                               DigitalMediaDevices OK    
Puente PCI de CPU host estándar                                       System              OK    
Interfaz de administración para ACPI de Microsoft Windows             System              OK    
Volumen                                                               Volume              OK    
Dispositivo HID I2C                                                   HIDClass            OK    
NVIDIA Virtual Audio Device (Wave Extensible) (WDM)                   MEDIA               OK    
NVIDIA Broadcast                                                      MEDIA               OK    
Volumen                                                               Volume              OK    
Sintetizador por software GS de tabla de onda de                      SoftwareDevice      OK    
Botón de inicio/apagado ACPI                                          System              OK    
Concentrador raíz USB (USB 3.0)                                       USB                 OK    
Dispositivo compuesto USB                                             USB                 OK    
Microsoft Input Configuration Device                                  HIDClass            OK    
Controladora de High Definition Audio                                 System              OK    
AMD Radeon 780M Graphics                                              Display             OK    
Controladora multimedia                                                                   Error 
Controladora NVM Express estándar                                     SCSIAdapter         OK    
AMD Crash Defender                                                    System              OK    
Enumerador de adaptador de red virtual NDIS                           System              OK    
Controlador AMD I2C                                                   System              OK    
NVIDIA Platform Controllers and Framework                             SoftwareDevice      OK    
AIWA-90N Stereo                                                       MEDIA               OK    
Puente PCI de CPU host estándar                                       System              OK    
Dispositivo de High Definition Audio                                  MEDIA               OK    
Omen Software and Services                                            SoftwareComponent   OK    
Fax                                                                   PrintQueue          OK    
HP Application Enabling Services                                      SoftwareComponent   OK    
Recursos de la placa base                                             System              OK    
Wi-Fi                                                                 SoftwareDevice      OK    
Realtek PCIE CardReader                                               MTD                 OK    
Bluetooth HID Device                                                  HIDClass            OK    
                                                                                          Error 
Altavoz del sistema                                                   System              OK    
AMD-OpenCL User Mode Driver                                           SoftwareComponent   OK    
Controlador BIOS de Microsoft System Management                       System              OK    
HP Application Driver                                                 System              OK    
Puente PCI de CPU host estándar                                       System              OK    
Volumen                                                               Volume              OK    
Enumerador de dispositivos de software Plug and Play                  System              OK    
Logitech G HUB Virtual Bus Enumerator                                 System              OK    
Nefarius Virtual Gamepad Emulation Bus                                System              OK    
Nefarius HidHide Device                                               System              OK    
